UUID,KOD,NAZEV,ZKRATKA,PODTRIDA
b50776b9-8d76-4688-ad15-9358b59d057b,000000010,Archivní správa Ministerstva vnitra České republiky,AS MV ČR,PUBLIC_ADMINISTRATION
9f783015-b9af-42fc-bff4-11ff57cdb072,100000010,Národní archiv,NA,PUBLIC_ADMINISTRATION
c4b13fa0-89a2-44a2-954f-e281934c3dcf,100000020,Archiv bezpečnostních složek,ABS,PUBLIC_ADMINISTRATION
e1ad171f-aee0-4e6e-b692-8bfb09f44eaf,211000010,Státní oblastní archiv v Praze,SOA v Praze,PUBLIC_ADMINISTRATION
921ee434-ef97-4b65-86d9-22313513d43b,212000010,Státní oblastní archiv v Třeboni,SOA v Třeboni,PUBLIC_ADMINISTRATION
c0471c34-4dbd-4fa0-8929-ccfe8e8cb325,213000010,Státní oblastní archiv v Plzni,SOA v Plzni,PUBLIC_ADMINISTRATION
252edbbc-f893-4083-8702-c0e1432dbe89,214000010,Státní oblastní archiv v Litoměřicích,SOA v Litoměřicích,PUBLIC_ADMINISTRATION
3d392a72-6ad4-4fa3-a237-e5a4d7a7f91d,215000010,Státní oblastní archiv v Zámrsku,SOA v Zámrsku,PUBLIC_ADMINISTRATION
32eff1a7-4a2f-4462-a6de-29c9fa39ead5,216000010,Moravský zemský archiv v Brně,MZA v Brně,PUBLIC_ADMINISTRATION
1a381845-785f-4cb2-8290-fa1e0c54e1bd,217000010,Zemský archiv v Opavě,ZA v Opavě,PUBLIC_ADMINISTRATION
9668ae9f-e3fa-402e-9817-d1fcd730110e,221201010,Státní okresní archiv Benešov,SOkA Benešov,PUBLIC_ADMINISTRATION
0d158984-9b53-4660-b08b-f23fdf39e764,221202010,Státní okresní archiv Beroun,SOkA Beroun,PUBLIC_ADMINISTRATION
d865cc77-fbb3-4224-9eee-1a8f2ebcea29,221203010,Státní okresní archiv Kladno,SOkA Kladno,PUBLIC_ADMINISTRATION
64364a53-fa2c-4e28-bef3-8693b00f6776,221204010,Státní okresní archiv Kolín,SOkA Kolín,PUBLIC_ADMINISTRATION
32b92f0c-046f-4d7d-b04e-6cee2862ee99,221205010,Státní okresní archiv Kutná Hora,SOkA Kutná Hora,PUBLIC_ADMINISTRATION
8f8c422f-deda-4445-b640-931c2d6b116a,221206010,Státní okresní archiv Mělník,SOkA Mělník,PUBLIC_ADMINISTRATION
08b9e050-4821-41eb-98f8-160022099243,221207010,Státní okresní archiv Mladá Boleslav,SOkA Mladá Boleslav,PUBLIC_ADMINISTRATION
21b0f0da-9113-4146-bc85-18bbd5df17c0,221208010,Státní okresní archiv Nymburk se sídlem v Lysé nad Labem,SOkA Nymburk,PUBLIC_ADMINISTRATION
2dab13a8-437d-49ed-9e04-37433790a8d3,221209010,Státní okresní archiv Praha-východ se sídlem v Přemyšlení,SOkA Praha-východ,PUBLIC_ADMINISTRATION
b1b0d00b-233e-497b-b7ea-66343a1600d6,221210010,Státní okresní archiv Praha-západ se sídlem v Dobřichovicích,SOkA Praha-západ,PUBLIC_ADMINISTRATION
2d2ef1c1-f137-49a0-b9cf-a800b58c530d,221211010,Státní okresní archiv Příbram,SOkA Příbram,PUBLIC_ADMINISTRATION
8b8ae293-2f56-426f-89d5-0c98ac2ba1ea,221212010,Státní okresní archiv Rakovník,SOkA Rakovník,PUBLIC_ADMINISTRATION
9c9365db-435a-4b4b-a2d2-73862fd686d5,222101010,Státní okresní archiv České Budějovice,SOkA České Budějovice,PUBLIC_ADMINISTRATION
e52ca1a4-b155-40c5-a2d9-130173832f96,222102010,Státní okresní archiv Český Krumlov,SOkA Český Krumlov,PUBLIC_ADMINISTRATION
290efa39-f5d3-4bbe-a4e2-d7e246a99af5,222103010,Státní okresní archiv Jindřichův Hradec,SOkA Jindřichův Hradec,PUBLIC_ADMINISTRATION
90aae591-dcb9-4e53-9c28-2971121009ec,222104010,Státní okresní archiv Písek,SOkA Písek,PUBLIC_ADMINISTRATION
d037558f-8715-4ac5-9908-e40efb5d61ba,222105010,Státní okresní archiv Prachatice,SOkA Prachatice,PUBLIC_ADMINISTRATION
18ed12b1-e272-4721-a86c-c50a6eb60949,222106010,Státní okresní archiv Strakonice,SOkA Strakonice,PUBLIC_ADMINISTRATION
68a37692-15c5-4c11-afb2-b9b91d850258,222107010,Státní okresní archiv Tábor,SOkA Tábor,PUBLIC_ADMINISTRATION
5c37b075-f144-4cd6-8025-dc3a11ed393b,223101010,Státní okresní archiv Domažlice se sídlem v Horšovském Týně,SOkA Domažlice,PUBLIC_ADMINISTRATION
69328285-debe-4f87-bc8f-bdd28905e322,223102010,Státní okresní archiv Klatovy,SOkA Klatovy,PUBLIC_ADMINISTRATION
e4015348-52fa-4f41-92ea-df72f6a9833f,223104010,Státní okresní archiv Plzeň-jih se sídlem v Blovicích,SOkA Plzeň-jih,PUBLIC_ADMINISTRATION
